"Name","State","Notes","User","Tags","Created","Runtime","Sweep","AllegroBesselBasis_trainable","PolynomialCutoff_p","_jit_bailout_depth","_jit_fuser","_jit_fusion_strategy","allow_tf32","amsgrad","append","ase_args.format","avg_num_neighbors","batch_size","bessel_frequency_cutoff","betas","chemical_symbols","dataset","dataset_file_name","dataset_seed","dataset_statistics_stride","default_dtype","device","e3nn_version","early_stopping_lower_bounds.LR","early_stopping_patiences.validation_loss","edge_eng_mlp_initialization","edge_eng_mlp_latent_dimensions","ema_decay","ema_use_num_updates","env_embed_mlp_initialization","env_embed_mlp_latent_dimensions","eps","equivariance_test","gpu_oom_offload","grad_anomaly_mode","l_max","latent_mlp_initialization","latent_mlp_latent_dimensions","latent_mlp_nonlinearity","latent_resnet","learning_rate","loss_coeffs.forces","loss_coeffs.stress","loss_coeffs.total_energy","lr_scheduler_factor","lr_scheduler_name","lr_scheduler_patience","max_epochs","metrics_components","metrics_key","model_builders","model_debug_mode","model_dtype","n_train","n_val","nequip_version","num_layers","num_tensor_features","num_weights","optimizer_name","parity","r_max","root","run_name","seed","shuffle","tensorboard","torch_version","two_body_latent_mlp_initialization","two_body_latent_mlp_latent_dimensions","two_body_latent_mlp_nonlinearity","use_ema","validation_dataset","validation_dataset_file_name","verbose","wandb","wandb_project","warn_unused","weight_decay","LR","cumulative_wall","epoch","training_e/N_mae","training_e_mae","training_f_mae","training_f_rmse","training_loss","training_loss_e","training_loss_f","training_loss_stress","training_stress_mae","training_stress_rmse","validation_e/N_mae","validation_e_mae","validation_f_mae","validation_f_rmse","validation_loss","validation_loss_e","validation_loss_f","validation_loss_stress","validation_stress_mae","validation_stress_rmse","wall"
"allegro_model_161_r_max8p0_l_max2_num_layers2_num_tensor_features64_learning_rate0p001","finished","-","","","2024-11-26T16:58:35.000Z","146839","","true","6","2","fuser1","[[""DYNAMIC"",3]]","false","false","true","extxyz","auto","4","4","[0.9,0.999]","[""Ti"",""V"",""Cr"",""Zr"",""W""]","ase","./data/gen_4_2024-11-14_og_train.xyz","456","1","float32","cuda","0.4.4","0.00001","50","uniform","[64]","0.99","true","uniform","[]","1e-8","false","false","false","2","uniform","[512,512,512]","silu","true","0.001","50","25","[1]","0.5","ReduceLROnPlateau","50","100","[[""forces"",""mae""],[""forces"",""rmse""],[""forces"",""mae"",{""PerSpecies"":false,""report_per_component"":false}],[""forces"",""rmse"",{""PerSpecies"":false,""report_per_component"":false}],[""total_energy"",""mae""],[""total_energy"",""mae"",{""PerAtom"":true}],[""stress"",""mae""],[""stress"",""rmse""]]","validation_loss","[""allegro.model.Allegro"",""PerSpeciesRescale"",""StressForceOutput"",""RescaleEnergyEtc""]","false","float32","7724","965","0.6.0","2","64","2331723","Adam","o3_full","8","results/allegro_model_161_r_max8p0_l_max2_num_layers2_num_tensor_features64_learning_rate0p001","allegro_model_161_r_max8p0_l_max2_num_layers2_num_tensor_features64_learning_rate0p001","123","true","false","1.11.0","uniform","[64,128,256,512]","silu","true","ase","./data/gen_4_2024-11-14_og_val.xyz","debug","true","allegro_hpo_vcrtiwzr","false","0","0.001","144772.83680679323","100","0.00960580538958311","1.191120147705078","0.10435596853494644","0.16763287782669067","3.8224055767059326","2.416753053665161","0.02810077928006649","0.00002463846612954512","0.0027153296396136284","0.004963714629411697","0.0029622032307088375","0.3673131465911865","0.10277433693408966","0.14269740879535675","1.3970682621002195","0.3785944879055023","0.020362550392746925","0.00001385748510074336","0.0021468147169798613","0.003722564084455371","144772.83680679323"
"allegro_model_160_r_max8p0_l_max2_num_layers2_num_tensor_features64_learning_rate0p0005","finished","-","","","2024-11-26T16:34:47.000Z","149547","","true","6","2","fuser1","[[""DYNAMIC"",3]]","false","false","true","extxyz","auto","4","4","[0.9,0.999]","[""Ti"",""V"",""Cr"",""Zr"",""W""]","ase","./data/gen_4_2024-11-14_og_train.xyz","456","1","float32","cuda","0.4.4","0.00001","50","uniform","[64]","0.99","true","uniform","[]","1e-8","false","false","false","2","uniform","[512,512,512]","silu","true","0.0005","50","25","[1]","0.5","ReduceLROnPlateau","50","100","[[""forces"",""mae""],[""forces"",""rmse""],[""forces"",""mae"",{""PerSpecies"":false,""report_per_component"":false}],[""forces"",""rmse"",{""PerSpecies"":false,""report_per_component"":false}],[""total_energy"",""mae""],[""total_energy"",""mae"",{""PerAtom"":true}],[""stress"",""mae""],[""stress"",""rmse""]]","validation_loss","[""allegro.model.Allegro"",""PerSpeciesRescale"",""StressForceOutput"",""RescaleEnergyEtc""]","false","float32","7724","965","0.6.0","2","64","2331723","Adam","o3_full","8","results/allegro_model_160_r_max8p0_l_max2_num_layers2_num_tensor_features64_learning_rate0p0005","allegro_model_160_r_max8p0_l_max2_num_layers2_num_tensor_features64_learning_rate0p0005","123","true","false","1.11.0","uniform","[64,128,256,512]","silu","true","ase","./data/gen_4_2024-11-14_og_val.xyz","debug","true","allegro_hpo_vcrtiwzr","false","0","0.0005","147519.03056480177","100","0.008465045131742954","1.049666166305542","0.11083375662565231","0.1572774350643158","3.0822019577026367","1.844954490661621","0.0247361920773983","0.000017538468455313705","0.002349176676943898","0.004187895450741053","0.003152179066091776","0.39087027311325073","0.11167038977146149","0.15471690893173218","1.596068024635315","0.3989427387714386","0.02393732033669949","0.000010388280315964948","0.0018770858878269792","0.003223085543140769","147519.03056480177"
"allegro_model_159_r_max8p0_l_max2_num_layers2_num_tensor_features64_learning_rate0p0001","finished","-","","","2024-11-26T16:03:34.000Z","146791","","true","6","2","fuser1","[[""DYNAMIC"",3]]","false","false","true","extxyz","auto","4","4","[0.9,0.999]","[""Ti"",""V"",""Cr"",""Zr"",""W""]","ase","./data/gen_4_2024-11-14_og_train.xyz","456","1","float32","cuda","0.4.4","0.00001","50","uniform","[64]","0.99","true","uniform","[]","1e-8","false","false","false","2","uniform","[512,512,512]","silu","true","0.0001","50","25","[1]","0.5","ReduceLROnPlateau","50","100","[[""forces"",""mae""],[""forces"",""rmse""],[""forces"",""mae"",{""PerSpecies"":false,""report_per_component"":false}],[""forces"",""rmse"",{""PerSpecies"":false,""report_per_component"":false}],[""total_energy"",""mae""],[""total_energy"",""mae"",{""PerAtom"":true}],[""stress"",""mae""],[""stress"",""rmse""]]","validation_loss","[""allegro.model.Allegro"",""PerSpeciesRescale"",""StressForceOutput"",""RescaleEnergyEtc""]","false","float32","7724","965","0.6.0","2","64","2331723","Adam","o3_full","8","results/allegro_model_159_r_max8p0_l_max2_num_layers2_num_tensor_features64_learning_rate0p0001","allegro_model_159_r_max8p0_l_max2_num_layers2_num_tensor_features64_learning_rate0p0001","123","true","false","1.11.0","uniform","[64,128,256,512]","silu","true","ase","./data/gen_4_2024-11-14_og_val.xyz","debug","true","allegro_hpo_vcrtiwzr","false","0","0.0001","144769.3272166443","100","0.010031059384346008","1.2438527345657349","0.14117850363254547","0.19814549386501312","4.5438642501831055","2.579803466796875","0.03926163539290428","0.000039285125239985064","0.003433207981288433","0.006267784629017115","0.00413321191444993","0.5125179290771484","0.14426423609256744","0.2045491188764572","2.658198595046997","0.5652194619178772","0.04184034466743469","0.000038464469980681315","0.003506446722894907","0.006201973184943199","144769.3272166443"
"allegro_model_158_r_max8p0_l_max2_num_layers2_num_tensor_features32_learning_rate0p001","finished","-","","","2024-11-26T15:59:45.000Z","105445","","true","6","2","fuser1","[[""DYNAMIC"",3]]","false","false","true","extxyz","auto","4","4","[0.9,0.999]","[""Ti"",""V"",""Cr"",""Zr"",""W""]","ase","./data/gen_4_2024-11-14_og_train.xyz","456","1","float32","cuda","0.4.4","0.00001","50","uniform","[64]","0.99","true","uniform","[]","1e-8","false","false","false","2","uniform","[512,512,512]","silu","true","0.001","50","25","[1]","0.5","ReduceLROnPlateau","50","100","[[""forces"",""mae""],[""forces"",""rmse""],[""forces"",""mae"",{""PerSpecies"":false,""report_per_component"":false}],[""forces"",""rmse"",{""PerSpecies"":false,""report_per_component"":false}],[""total_energy"",""mae""],[""total_energy"",""mae"",{""PerAtom"":true}],[""stress"",""mae""],[""stress"",""rmse""]]","validation_loss","[""allegro.model.Allegro"",""PerSpeciesRescale"",""StressForceOutput"",""RescaleEnergyEtc""]","false","float32","7724","965","0.6.0","2","32","2042955","Adam","o3_full","8","results/allegro_model_158_r_max8p0_l_max2_num_layers2_num_tensor_features32_learning_rate0p001","allegro_model_158_r_max8p0_l_max2_num_layers2_num_tensor_features32_learning_rate0p001","123","true","false","1.11.0","uniform","[64,128,256,512]","silu","true","ase","./data/gen_4_2024-11-14_og_val.xyz","debug","true","allegro_hpo_vcrtiwzr","false","0","0.001","103392.02540890872","100","0.00986409466713667","1.2231481075286863","0.11079657822847366","0.1976688802242279","4.647202491760254","2.69289493560791","0.03907298669219017","0.00002610744377307128","0.0027576368302106857","0.005109544377774","0.003350658342242241","0.4154813885688782","0.1108761504292488","0.2346763610839844","3.238628625869751","0.4845696687698364","0.05507299676537514","0.000016347719792975113","0.0021999389864504337","0.004043231718242168","103392.02540890872"
"allegro_model_157_r_max8p0_l_max2_num_layers2_num_tensor_features32_learning_rate0p0005","finished","-","","","2024-11-26T15:52:03.000Z","107045","","true","6","2","fuser1","[[""DYNAMIC"",3]]","false","false","true","extxyz","auto","4","4","[0.9,0.999]","[""Ti"",""V"",""Cr"",""Zr"",""W""]","ase","./data/gen_4_2024-11-14_og_train.xyz","456","1","float32","cuda","0.4.4","0.00001","50","uniform","[64]","0.99","true","uniform","[]","1e-8","false","false","false","2","uniform","[512,512,512]","silu","true","0.0005","50","25","[1]","0.5","ReduceLROnPlateau","50","100","[[""forces"",""mae""],[""forces"",""rmse""],[""forces"",""mae"",{""PerSpecies"":false,""report_per_component"":false}],[""forces"",""rmse"",{""PerSpecies"":false,""report_per_component"":false}],[""total_energy"",""mae""],[""total_energy"",""mae"",{""PerAtom"":true}],[""stress"",""mae""],[""stress"",""rmse""]]","validation_loss","[""allegro.model.Allegro"",""PerSpeciesRescale"",""StressForceOutput"",""RescaleEnergyEtc""]","false","float32","7724","965","0.6.0","2","32","2042955","Adam","o3_full","8","results/allegro_model_157_r_max8p0_l_max2_num_layers2_num_tensor_features32_learning_rate0p0005","allegro_model_157_r_max8p0_l_max2_num_layers2_num_tensor_features32_learning_rate0p0005","123","true","false","1.11.0","uniform","[64,128,256,512]","silu","true","ase","./data/gen_4_2024-11-14_og_val.xyz","debug","true","allegro_hpo_vcrtiwzr","false","0","0.0005","104633.16446317686","100","0.009217564016580582","1.142976999282837","0.11485179513692856","0.1659073829650879","3.5517780780792236","2.1750051975250244","0.02752525918185711","0.00002059035614365712","0.002494918182492256","0.004537659697234631","0.00351096922531724","0.4353600740432739","0.11632922291755676","0.1962815374135971","2.3951199054718018","0.46853265166282654","0.038526441901922226","0.000010596368156257086","0.0018070859368890524","0.0032552063930779696","104633.16446317686"
"allegro_model_156_r_max8p0_l_max2_num_layers2_num_tensor_features32_learning_rate0p0001","finished","-","","","2024-11-26T14:53:12.000Z","107305","","true","6","2","fuser1","[[""DYNAMIC"",3]]","false","false","true","extxyz","auto","4","4","[0.9,0.999]","[""Ti"",""V"",""Cr"",""Zr"",""W""]","ase","./data/gen_4_2024-11-14_og_train.xyz","456","1","float32","cuda","0.4.4","0.00001","50","uniform","[64]","0.99","true","uniform","[]","1e-8","false","false","false","2","uniform","[512,512,512]","silu","true","0.0001","50","25","[1]","0.5","ReduceLROnPlateau","50","100","[[""forces"",""mae""],[""forces"",""rmse""],[""forces"",""mae"",{""PerSpecies"":false,""report_per_component"":false}],[""forces"",""rmse"",{""PerSpecies"":false,""report_per_component"":false}],[""total_energy"",""mae""],[""total_energy"",""mae"",{""PerAtom"":true}],[""stress"",""mae""],[""stress"",""rmse""]]","validation_loss","[""allegro.model.Allegro"",""PerSpeciesRescale"",""StressForceOutput"",""RescaleEnergyEtc""]","false","float32","7724","965","0.6.0","2","32","2042955","Adam","o3_full","8","results/allegro_model_156_r_max8p0_l_max2_num_layers2_num_tensor_features32_learning_rate0p0001","allegro_model_156_r_max8p0_l_max2_num_layers2_num_tensor_features32_learning_rate0p0001","123","true","false","1.11.0","uniform","[64,128,256,512]","silu","true","ase","./data/gen_4_2024-11-14_og_val.xyz","debug","true","allegro_hpo_vcrtiwzr","false","0","0.0001","104996.81009558497","100","0.010018916800618172","1.2423455715179443","0.14415840804576874","0.19998367130756375","4.568696022033691","2.568596601486206","0.03999347239732742","0.00001678665830695536","0.002416433766484261","0.004097152501344681","0.004216029308736324","0.5227879285812378","0.14638100564479828","0.20459102094173431","2.6758885383605957","0.5826674103736877","0.04185748472809792","0.00001383518520015059","0.002296778140589595","0.0037195677869021897","104996.81009558497"
"allegro_model_155_r_max8p0_l_max2_num_layers2_num_tensor_features16_learning_rate0p001","finished","-","","","2024-11-26T10:05:08.000Z","85462","","true","6","2","fuser1","[[""DYNAMIC"",3]]","false","false","true","extxyz","auto","4","4","[0.9,0.999]","[""Ti"",""V"",""Cr"",""Zr"",""W""]","ase","./data/gen_4_2024-11-14_og_train.xyz","456","1","float32","cuda","0.4.4","0.00001","50","uniform","[64]","0.99","true","uniform","[]","1e-8","false","false","false","2","uniform","[512,512,512]","silu","true","0.001","50","25","[1]","0.5","ReduceLROnPlateau","50","100","[[""forces"",""mae""],[""forces"",""rmse""],[""forces"",""mae"",{""report_per_component"":false,""PerSpecies"":false}],[""forces"",""rmse"",{""PerSpecies"":false,""report_per_component"":false}],[""total_energy"",""mae""],[""total_energy"",""mae"",{""PerAtom"":true}],[""stress"",""mae""],[""stress"",""rmse""]]","validation_loss","[""allegro.model.Allegro"",""PerSpeciesRescale"",""StressForceOutput"",""RescaleEnergyEtc""]","false","float32","7724","965","0.6.0","2","16","1909323","Adam","o3_full","8","results/allegro_model_155_r_max8p0_l_max2_num_layers2_num_tensor_features16_learning_rate0p001","allegro_model_155_r_max8p0_l_max2_num_layers2_num_tensor_features16_learning_rate0p001","123","true","false","1.11.0","uniform","[64,128,256,512]","silu","true","ase","./data/gen_4_2024-11-14_og_val.xyz","debug","true","allegro_hpo_vcrtiwzr","false","0","0.001","83396.43749337504","100","0.009617805480957031","1.192607283592224","0.11182285100221634","0.18736878037452695","4.210178852081299","2.454242706298828","0.03510705754160881","0.00002324100751138758","0.002680672099813819","0.004820892587304115","0.00324342492967844","0.4021846354007721","0.11060109734535216","0.15263864398002625","1.5912572145462036","0.4258754253387451","0.02329855225980282","0.000018162787455366924","0.002446714788675308","0.004261782392859459","83396.43749337504"
"allegro_model_154_r_max8p0_l_max2_num_layers2_num_tensor_features16_learning_rate0p0005","finished","-","","","2024-11-26T07:28:32.000Z","86314","","true","6","2","fuser1","[[""DYNAMIC"",3]]","false","false","true","extxyz","auto","4","4","[0.9,0.999]","[""Ti"",""V"",""Cr"",""Zr"",""W""]","ase","./data/gen_4_2024-11-14_og_train.xyz","456","1","float32","cuda","0.4.4","0.00001","50","uniform","[64]","0.99","true","uniform","[]","1e-8","false","false","false","2","uniform","[512,512,512]","silu","true","0.0005","50","25","[1]","0.5","ReduceLROnPlateau","50","100","[[""forces"",""mae""],[""forces"",""rmse""],[""forces"",""mae"",{""PerSpecies"":false,""report_per_component"":false}],[""forces"",""rmse"",{""PerSpecies"":false,""report_per_component"":false}],[""total_energy"",""mae""],[""total_energy"",""mae"",{""PerAtom"":true}],[""stress"",""mae""],[""stress"",""rmse""]]","validation_loss","[""allegro.model.Allegro"",""PerSpeciesRescale"",""StressForceOutput"",""RescaleEnergyEtc""]","false","float32","7724","965","0.6.0","2","16","1909323","Adam","o3_full","8","results/allegro_model_154_r_max8p0_l_max2_num_layers2_num_tensor_features16_learning_rate0p0005","allegro_model_154_r_max8p0_l_max2_num_layers2_num_tensor_features16_learning_rate0p0005","123","true","false","1.11.0","uniform","[64,128,256,512]","silu","true","ase","./data/gen_4_2024-11-14_og_val.xyz","debug","true","allegro_hpo_vcrtiwzr","false","0","0.0005","84239.7801975403","100","0.00929875671863556","1.1530470848083496","0.11837171018123628","0.1682308167219162","3.660536289215088","2.244910955429077","0.028301605954766273","0.000021751380700152367","0.002569109899923206","0.004663837607949972","0.003579165553674102","0.4438165426254273","0.1193503811955452","0.1918353885412216","2.3313987255096436","0.4911072254180908","0.036800816655159","0.000010027973985415883","0.0018173777498304844","0.0031666976865381","84239.7801975403"
"allegro_model_153_r_max8p0_l_max2_num_layers2_num_tensor_features16_learning_rate0p0001","finished","-","","","2024-11-26T07:19:50.000Z","86861","","true","6","2","fuser1","[[""DYNAMIC"",3]]","false","false","true","extxyz","auto","4","4","[0.9,0.999]","[""Ti"",""V"",""Cr"",""Zr"",""W""]","ase","./data/gen_4_2024-11-14_og_train.xyz","456","1","float32","cuda","0.4.4","0.00001","50","uniform","[64]","0.99","true","uniform","[]","1e-8","false","false","false","2","uniform","[512,512,512]","silu","true","0.0001","50","25","[1]","0.5","ReduceLROnPlateau","50","100","[[""forces"",""mae""],[""forces"",""rmse""],[""forces"",""mae"",{""PerSpecies"":false,""report_per_component"":false}],[""forces"",""rmse"",{""PerSpecies"":false,""report_per_component"":false}],[""total_energy"",""mae""],[""total_energy"",""mae"",{""PerAtom"":true}],[""stress"",""mae""],[""stress"",""rmse""]]","validation_loss","[""allegro.model.Allegro"",""PerSpeciesRescale"",""StressForceOutput"",""RescaleEnergyEtc""]","false","float32","7724","965","0.6.0","2","16","1909323","Adam","o3_full","8","results/allegro_model_153_r_max8p0_l_max2_num_layers2_num_tensor_features16_learning_rate0p0001","allegro_model_153_r_max8p0_l_max2_num_layers2_num_tensor_features16_learning_rate0p0001","123","true","false","1.11.0","uniform","[64,128,256,512]","silu","true","ase","./data/gen_4_2024-11-14_og_val.xyz","debug","true","allegro_hpo_vcrtiwzr","false","0","0.0001","84467.44752347004","100","0.01071420218795538","1.3285605907440186","0.1526418775320053","0.21070772409439087","5.162889003753662","2.9424805641174316","0.0443977452814579","0.00002097107244480867","0.002676052274182439","0.004579418338835239","0.004534902051091194","0.5623276829719543","0.15540307760238647","0.21837669610977173","3.0355420112609863","0.6506765484809875","0.04768837615847587","0.0000178374884853838","0.002542942762374878","0.0042234449647367","84467.44752347004"
"allegro_model_152_r_max8p0_l_max2_num_layers1_num_tensor_features64_learning_rate0p001","finished","-","","","2024-11-26T06:44:03.000Z","58664","","true","6","2","fuser1","[[""DYNAMIC"",3]]","false","false","true","extxyz","auto","4","4","[0.9,0.999]","[""Ti"",""V"",""Cr"",""Zr"",""W""]","ase","./data/gen_4_2024-11-14_og_train.xyz","456","1","float32","cuda","0.4.4","0.00001","50","uniform","[64]","0.99","true","uniform","[]","1e-8","false","false","false","2","uniform","[512,512,512]","silu","true","0.001","50","25","[1]","0.5","ReduceLROnPlateau","50","100","[[""forces"",""mae""],[""forces"",""rmse""],[""forces"",""mae"",{""PerSpecies"":false,""report_per_component"":false}],[""forces"",""rmse"",{""PerSpecies"":false,""report_per_component"":false}],[""total_energy"",""mae""],[""total_energy"",""mae"",{""PerAtom"":true}],[""stress"",""mae""],[""stress"",""rmse""]]","validation_loss","[""allegro.model.Allegro"",""PerSpeciesRescale"",""StressForceOutput"",""RescaleEnergyEtc""]","false","float32","7724","965","0.6.0","1","64","1303627","Adam","o3_full","8","results/allegro_model_152_r_max8p0_l_max2_num_layers1_num_tensor_features64_learning_rate0p001","allegro_model_152_r_max8p0_l_max2_num_layers1_num_tensor_features64_learning_rate0p001","123","true","false","1.11.0","uniform","[64,128,256,512]","silu","true","ase","./data/gen_4_2024-11-14_og_val.xyz","debug","true","allegro_hpo_vcrtiwzr","false","0","0.001","56310.47857825225","100","0.010740432888269424","1.331814169883728","0.114639014005661","0.16617293655872345","4.397200107574463","3.015610456466675","0.02761344611644745","0.00003666193151730113","0.0033172573894262314","0.006054909899830818","0.003399972338229418","0.421596497297287","0.11380159854888916","0.189830020070076","2.2482311725616455","0.4458175003528595","0.0360354408621788","0.000025690129405120388","0.002896785968914628","0.005068542901426554","56310.47857825225"
