Name,Default_default_final_rel_rmse_f,Default_default_final_rmse_e_per_atom,Default_default_final_rmse_f,valid_default_final_rel_rmse_f,valid_default_final_rmse_e_per_atom,valid_default_final_rmse_f
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_2,42.290457780606346,2.1571179386228323,34.908462315797806,4.6230084372400695,3.1038066372275352,49.71841722726822
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_1,42.85791342761986,2.212468534708023,35.37686914205551,4.369360322922126,3.839225508272648,46.990543603897095
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_0,43.21173724203027,2.776928013190627,35.66892817616463,4.381182672615364,4.141181241720915,47.1176877617836
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_2,43.14271952612459,3.549401881173253,35.61196103692055,23.79280181467345,6.675655487924814,321.7705488204956
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_1,42.076023911371635,2.182567724958062,34.731458872556686,19.611431801254405,5.58597594499588,265.2222812175751
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_0,42.35790625790119,2.2066275123506784,34.96414050459862,19.070171644983244,5.6125083938241005,257.9023540019989
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_2,41.5086238322604,1.81101867929101,34.26310420036316,31.43287062814163,1.951928832568228,36.60322353243828
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_1,41.3813463259611,1.8578438321128488,34.158043563365936,31.272855944467864,2.0431685261428356,36.41688823699951
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_0,41.62743933854867,1.7672565300017595,34.361179918050766,31.42725944528784,1.931307604536414,36.596689373254776
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_2,41.78672351368971,1.9462726777419448,34.49266031384468,2.1717993824773103,4.2062499560415745,50.23086071014404
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_1,42.08516358661221,1.9236336229369044,34.73900631070137,3.5687264934848315,4.434711299836636,82.53994584083557
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_0,41.72613108054403,2.0084064453840256,34.44264456629753,2.312355997785073,4.467165097594261,53.481750190258026
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_2,39.438588463161075,2.2145623806864023,32.55440294742584,4.091025281781698,7.598422933369875,132.25173950195312
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_1,40.28056874692568,2.010196214541793,33.24941173195839,4.349304422431909,10.005355812609196,140.60120284557345
model_6_r_cut5.0_max_L0_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_0,40.34068730807074,1.8329460872337224,33.2990363240242,5.782533942708528,8.966951631009579,186.93362176418304
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_2,34.451954421991864,1.3102155644446611,28.438208624720573,3.906808206638275,2.766654593870044,42.01599955558777
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_1,33.67097726044014,1.0758214630186558,27.793554589152336,3.447293253029792,2.574865473434329,37.07411885261536
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_0,33.25247833136108,1.0627032024785876,27.448106557130817,3.491016895349708,2.716646296903491,37.54434734582901
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_2,35.1204163183302,1.2702858075499537,28.989987447857857,11.08861503519081,1.839110511355102,149.96089041233063
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_1,35.09059171722465,1.727101276628673,28.96536886692047,12.30423458210118,2.543478040024638,166.4007604122162
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_0,36.69034071717738,1.8663640366867185,30.285874381661415,14.4313453906847,2.2799940779805183,195.16751170158383
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_2_fold_2,32.677306036211064,1.0933149605989456,26.973333209753036,24.50306940094344,1.2043571332469585,28.53354811668396
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_2_fold_1,32.791058584924066,1.0482685174793005,27.06722728908062,24.575381360594008,1.1137352557852864,28.617754578590393
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_2_fold_0,32.81967975053005,1.174958306364715,27.090854942798615,24.76656786053194,1.331383129581809,28.840389102697372
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_1_fold_2,35.125922259670716,1.467651454731822,28.99453230202198,1.7958370852260117,3.0983705073595047,41.53534770011902
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_1_fold_1,34.960438488412464,1.198108890093863,28.857937082648277,2.4490809669632627,2.2279995027929544,56.6440187394619
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_1_fold_0,35.87807672091819,1.302968361414969,29.61539477109909,2.9404389674688973,5.205906927585602,68.00848245620728
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_0_fold_2,35.05728754171455,1.1929733445867896,28.93787808716297,4.751049593022448,5.95737574622035,153.58853340148926
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_0_fold_1,34.76142756747488,1.3145526172593236,28.693659231066704,5.830238718531245,5.277900956571102,188.47578763961792
model_46_r_cut6.0_max_L1_num_channels128_learning_rate0.001_batch_size4_initial_rep_0_fold_0,36.085861567680446,1.4325150987133384,29.786907136440277,2.673173871435195,4.562641028314829,86.41645312309265
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_2,37.99158754516952,1.6805860213935375,31.35998547077179,3.755598518185594,4.108044318854809,40.389806032180786
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_1,37.634890583300326,1.6719044651836157,31.065551564097404,3.890837815996413,3.784840693697334,41.84424504637718
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_4_fold_0,37.182257115298725,1.4305260265246034,30.691927298903465,3.657376026047739,3.6007047165185213,39.333466440439224
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_2,37.04124402049369,1.3732529478147626,30.575523152947422,4.287811552633304,2.3744257632642984,57.987768203020096
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_1,36.25725781314597,2.0291628316044807,29.928388074040413,7.615779150634279,3.1062946654856205,102.99474000930786
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_0,37.05126528594462,1.3764973264187574,30.58379516005516,4.205604757536166,2.2915671579539776,56.87601491808891
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_2,35.87053989957503,1.3790418161079288,29.60917353630066,26.86713047714664,1.432754215784371,31.286470592021946
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_1,35.96754149810151,1.2353331549093127,29.68924306333065,26.881823842510073,1.3259565457701683,31.303580850362778
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_0,35.845571358209135,1.167546259239316,29.58856336772442,26.83964399876592,1.2598760658875108,31.254462897777557
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_2,38.94119887211249,1.5805516159161923,32.143834978342056,2.454291193916873,2.5222990661859512,56.764524430036545
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_1,40.52149881123985,1.7702485201880336,33.44828635454178,2.3692257184031527,2.5133411400020123,54.79707196354866
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_0,39.88924073574873,1.7083879793062806,32.92639181017876,2.0928770396460026,2.4227919057011604,48.405490815639496
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_2,41.04059706167108,2.3522740229964256,33.876776695251465,6.67150780534395,3.577558323740959,215.67173302173617
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_1,39.24299666663936,1.5698967035859823,32.3929525911808,6.551872729284897,3.6295221652835608,211.80425584316257
model_42_r_cut6.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_0,40.58778222145962,1.7328470712527633,33.50299969315529,6.356738241269917,7.955381646752357,205.49608767032623
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_2,41.216064285212234,1.8155777361243963,34.021612256765366,4.065587593533568,3.075212938711047,43.72360184788704
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_1,40.07498050772427,1.723527908325195,33.079709857702255,4.023955464470252,2.920051570981741,43.2758666574955
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_0,40.55496856620463,1.7826828407123685,33.47591683268547,4.157189846956593,2.813180908560753,44.7087436914444
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_2,43.48891235750935,2.1900536958128214,35.89772433042526,18.380331371185747,4.826636519283056,248.57304990291595
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_1,43.11249100555183,2.1186969242990017,35.58700904250145,12.39445562656855,4.152487963438034,167.62089729309082
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_0,42.69326321620516,2.10689939558506,35.240959376096725,11.196483184616405,3.565632738173008,151.41968429088593
model_34_r_cut6.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_2_fold_2,40.17438080118721,1.5290443552657962,33.16175937652588,30.205992215224015,1.7135475063696504,35.17453745007515
