atom_index,element,raw_displacement,mic_displacement,ml_x,ml_y,ml_z,vasp_x,vasp_y,vasp_z
0,V,12.834641533353562,0.16226364138237223,0.03104347,0.04670444,0.03760187,-4.27322,12.13805,0.01111
1,V,12.949945578617594,0.06201878142116652,-0.86761613,-1.21063045,2.13769828,12.0822,-1.19965,2.19455
2,V,12.984231086122147,0.018124387439959415,11.28142061,-2.4535029,4.26561038,6.93775,9.78257,4.22952
3,V,0.015478839646022478,0.015478839646022478,-6.89575396,8.55757444,6.33856911,-6.90388,8.57064,6.33688
4,V,0.017023684890207957,0.01702368489020796,-3.45371223,-4.89255599,8.53378859,-3.46855,-4.88996,8.54172
5,V,0.026307777479811643,0.026307777479811643,-1.66308105,1.23717782,2.12296082,-1.65909,1.23682,2.09696
6,V,0.028388307466791246,0.028388307466791253,-2.56438297,0.00724639,4.22318569,-2.57558,0.02675,4.24051
7,V,0.0225893953990053,0.0225893953990053,-3.40628074,-1.24623715,6.41740865,-3.39873,-1.23163,6.40192
8,V,0.0049970279192635535,0.0049970279192635535,-2.55994637,3.66427091,2.07748703,-2.55948,3.65963,2.07928
9,V,0.01927781184080001,0.01927781184080001,-3.44222709,2.48310264,4.23392646,-3.4276,2.47059,4.23287
10,V,0.061276372994934936,0.06127637299493493,-4.24263664,1.17940028,6.32856092,-4.28844,1.21397,6.35005
11,V,0.11751712482250458,0.11751712482250458,-5.13461721,0.04691438,8.60261786,-5.10069,-0.06488,8.58992
12,V,0.1589579137303489,0.1589579137303489,-2.52312485,7.4046614,-0.08324985,-2.60454,7.46614,0.03865
13,V,0.015930745686375737,0.015930745686375737,-3.46069684,6.1468889,2.12215222,-3.46747,6.16036,2.11701
14,V,0.015538455191215559,0.015538455191215559,-4.31767763,4.89566137,4.24034566,-4.31067,4.90948,4.23917
15,V,0.09879030775040079,0.09879030775040079,-5.18869405,3.66056108,6.4498155,-5.16951,3.709,6.36588
16,V,11.479768592642966,3.17628009318761,-3.52473563,9.8540823,0.04872027,-5.98069,2.41598,8.44086
17,V,0.15282989514817744,0.1528298951481774,8.67128587,8.56073772,2.12559426,8.69636,8.63837,1.99636
18,V,12.99718052745828,0.020832255453422793,7.80374601,7.33058106,4.25499552,-5.19335,7.35568,4.21541
19,V,0.017483672940872816,0.017483672940872812,-6.04848997,6.11276873,6.37612164,-6.05289,6.12553,6.36501
20,V,0.14618987642914322,0.1461898764291432,-6.86707201,4.80859512,8.48379444,-6.94125,4.8825,8.58581
21,V,12.940608343964323,0.10510111923142496,2.60780131,-0.02069166,-0.01665091,-1.65495,-6.05652,10.60677
22,V,12.955127035464285,0.17390333787473208,1.76121721,-1.22751705,2.10456485,-2.66591,10.94669,1.9479
23,V,0.04002001033769751,0.04002001033769752,-3.48575262,9.79407901,4.20942043,-3.49292,9.78593,4.1709
24,V,12.990034011666337,0.020262406878150126,0.00316756,-3.67978292,6.39068243,-4.35203,8.55835,6.35407
25,V,12.983726200828825,0.027545421200533937,-0.86684796,-4.90777837,8.52065104,-5.21213,7.32715,8.47377
26,V,0.0221634961317975,0.022163496131797498,1.71860353,2.42711508,0.04633737,1.69725,2.42355,0.04159
27,V,0.042198875764244165,0.042198875764244165,0.90736317,1.21327286,2.15755124,0.89772,1.18261,2.13021
28,V,0.03162141703588563,0.03162141703588563,0.00522318,0.01572371,4.25619053,0.01936,0.00066,4.23225
29,V,0.018919954455623982,0.01891995445562398,-0.8432067,-1.20573027,6.3733112,-0.84918,-1.2066,6.35538
30,V,0.008325783051473308,0.008325783051473308,-1.78643803,-2.46430652,8.52775017,-1.78125,-2.45947,8.52339
31,V,0.021373886985918068,0.02137388698591807,0.83555246,4.85991336,-0.02360384,0.84133,4.86208,-0.00314
32,V,0.00906623081914414,0.00906623081914414,0.0293854,3.63145792,2.11615286,0.0239,3.62488,2.11318
33,V,0.024098950686950803,0.024098950686950803,-0.8617713,2.46103886,4.25370735,-0.84564,2.45298,4.23772
34,V,0.033198933763850955,0.03319893376385095,-1.72269479,1.25470415,6.3927713,-1.7131,1.25151,6.36115
35,V,0.029165572952160462,0.029165572952160462,-2.58481609,0.03282319,8.50554306,-2.55716,0.0243,8.50192
36,V,0.10985077208834228,0.10985077208834228,0.06648157,7.32183038,0.05188134,-0.00424,7.38488,-0.00371
37,V,0.012380986316986765,0.012380986316986765,-0.88537867,6.07223845,2.0539271,-0.88019,6.06481,2.04549
38,V,0.009197808569121033,0.009197808569121033,-1.72082859,4.88164406,4.23153845,-1.71337,4.88585,4.22818
39,V,0.03150655462957224,0.03150655462957224,-2.59949567,3.67415143,6.38663482,-2.57771,3.68175,6.36518
40,V,0.15811686258676597,0.15811686258676597,-3.60022246,2.45347165,8.48225509,-3.44405,2.46359,8.50481
41,V,0.1605038943251569,0.1605038943251569,-5.23132228,3.61554528,10.47090762,-5.32581,3.68071,10.5831
42,V,0.10366160729670186,0.10366160729670186,-1.73762963,8.57465031,2.07060255,-1.68914,8.54839,2.15838
43,V,0.02083140668130202,0.02083140668130202,-2.59628456,7.32308769,4.22123911,-2.61404,7.33271,4.21613
