allegro_E,allegro_F,vasp_E,vasp_F
-1099.446517727915,0.49301654943225437,-1096.39097656,0.6888096297882311
-1099.4603251141136,0.444429994184981,-1096.54464026,0.6887821066062909
-1099.4845048309721,0.3530308866306409,-1096.75805901,0.5692803940774703
-1099.5134056545148,0.24485745144114668,-1096.87464544,0.4349270549161089
-1099.5407039673207,0.19017961565183572,-1096.94020006,0.25850203872503597
-1099.5613420442833,0.12805810583723595,-1096.99007841,0.13553044008266188
-1099.5725730758807,0.12821687329568177,-1096.99943226,0.1529667253588178
-1099.57414746434,0.16072759621873664,-1097.01569613,0.12157544427227071
-1099.5744022201698,0.15600383728326314,-1097.02017571,0.14658846842095047
-1099.5748399069294,0.1467276611320643,-1097.03211949,0.09479351611265403
-1099.5754538204926,0.13323610377482448,-1097.03424601,0.1136248730076298
-1099.5761710819743,0.11602632648397337,-1097.04239973,0.038351779997804536
-1099.576894900721,0.09575541665539175,-1097.0429161,0.06336348972397275
-1099.577587146013,0.07322619690709611,-1097.04624295,0.025529981218167786
-1099.5781618148012,0.0494403491932822,-1097.04629078,0.035928981073779426
-1099.578593697896,0.02342069468629421,-1097.04752194,0.012561733120871499
-1099.5788174632817,0.022158658858028146,-1097.04758728,0.02358284440011425
-1099.5788063920659,0.03032809084850819,-1097.04831562,0.010365960833420123
-1099.5788135850833,0.029773808277818066,-1097.04832369,0.019327461188681765
-1099.5788336401051,0.028681584599167993,-1097.04858803,0.010505084007279522
-1099.5788498223492,0.02706539927172353,-1097.04859263,0.009431766642575504
-1099.5788830991692,0.024956378948126287,-1097.0487587,0.007045795625761508
-1099.5789026675388,0.022394460730067022,-1097.04875982,0.007114280146297305
-1099.5789310335244,0.01942963900575337,-1097.04880909,0.006869551440960319
-1099.5789626471646,0.016124719703723017,-1097.04880863,0.008053421695155421
-1099.57899535734,0.012162134111657272,-1097.04883313,0.004340503772605203
-1099.579010494549,0.007563720029096586,-1097.04883173,0.005912785976170625
,,-1097.04885614,0.00259889572703485
,,-1097.04886011,0.003992243604791672
,,-1097.04888745,0.007733653535037628
,,-1097.04888482,0.0032977587843867535
,,-1097.04888385,0.00256750657253297
,,-1097.04888714,0.0025478828466002903
