allegro_E,allegro_F,vasp_E,vasp_F
-1103.7313077797644,0.3737606765798846,-1104.21525167,0.4631378586673735
-1103.7452857004046,0.349103222742992,-1104.29818337,0.34657523544535035
-1103.7696278065432,0.3017392210133837,-1104.37304069,0.21661344425727597
-1103.7983317313165,0.23541790674911048,-1104.40140696,0.2070462807321107
-1103.8247096574246,0.16036439664176377,-1104.4412707,0.18299740860733518
-1103.8433625115952,0.11094864045112736,-1104.47203395,0.12991041413989873
-1103.8516359501361,0.07020146204050581,-1104.48456487,0.08182285495507964
-1103.8503710013285,0.11889861508188068,-1104.492198,0.04497922917303052
-1103.8506371783635,0.11612494555344122,-1104.49419236,0.03555650979778527
-1103.8511280798853,0.11065394782700733,-1104.4959033,0.016620743786004283
-1103.8518191252624,0.10264248996900852,-1104.49601452,0.020306492065346984
-1103.8526484902732,0.09232259701430985,-1104.49643406,0.008183242877979365
-1103.853527183387,0.07999355003000354,,
-1103.8543714020307,0.06603785723865618,,
-1103.8551204336395,0.05090963849323473,,
-1103.8557747574232,0.03354058185991858,,
-1103.8562274490523,0.018481089831236336,,
-1103.8563878221807,0.014599511513436749,,
-1103.8563928628614,0.014402444571531222,,
-1103.8564005848664,0.014010115701097751,,
-1103.8564096307573,0.013430103512538823,,
-1103.856429174055,0.012670906542102267,,
-1103.8564613915846,0.011746954563829433,,
-1103.8564783711013,0.010671844700923697,,
-1103.8564872864456,0.00946778085055261,,
