allegro_E,allegro_F,vasp_E,vasp_F
-1118.6621406761055,0.502358042276066,-1122.40766091,0.6348644667872033
-1118.6809369774664,0.47550620833533364,-1122.50355486,0.43441437352486395
-1118.7140857859622,0.4242004417864972,-1122.56648807,0.3306156841318935
-1118.7540185910102,0.3525437592317024,-1122.60053929,0.25351900297413604
-1118.7920936122773,0.2653937991456177,-1122.61779712,0.22267839602664646
-1118.8208510236902,0.1836016444301321,-1122.64868943,0.15623412382063018
-1118.8356226306646,0.12133282516286342,-1122.65876216,0.1469608180502545
-1118.8360251331546,0.10863632264651948,-1122.67148616,0.10440695094197512
-1118.83630571388,0.10635710238292498,-1122.67454199,0.08771619099117335
-1118.8368463891734,0.10185613414621424,-1122.68139848,0.04088348249599097
-1118.8375852397253,0.09525673102434669,-1122.68210598,0.08404562197996991
-1118.8384626414786,0.08672783506612813,-1122.68566683,0.041097890383814104
-1118.839401327358,0.07649772665831797,-1122.68570013,0.05407082538670923
-1118.8403375593123,0.06483912526078714,-1122.68745865,0.01921011996318607
-1118.8411938070558,0.05764093075143455,-1122.68760105,0.03404586738504396
-1118.841965178389,0.049371179694787666,-1122.68856535,0.015876585086220526
-1118.8425691786988,0.03932844782080409,-1122.68863332,0.024792393047061833
-1118.8429034681167,0.027559847616819302,-1122.68912392,0.012868865140329974
-1118.842978359697,0.019373875591098023,-1122.68912983,0.017139559679291646
-1118.842992498815,0.019255063732021755,-1122.68937631,0.008823338880491896
-1118.843022653259,0.019020555651598634,-1122.68937547,0.012443555199379315
-1118.8430588988413,0.01867497028102144,-1122.68946987,0.006720845036154308
-1118.8431065422246,0.018219541385867555,-1122.68947208,0.008223469644864022
-1118.8431655753106,0.01766398223157969,-1122.68952624,0.006229575667732113
-1118.8432240635711,0.017015952970956694,-1122.68952249,0.006673288919266122
-1118.8432812047413,0.01628367412940734,-1122.68954308,0.0034436008769890857
-1118.8433361637808,0.015391251837653983,-1122.68954403,0.004201232319213019
-1118.84341158281,0.014607079991961749,-1122.6895401,0.004851057925854937
-1118.8434705213822,0.01426549490718573,-1122.68954701,0.0027905162604794117
-1118.84352652796,0.01377991290902764,,
-1118.8435630620945,0.01308606545538453,,
-1118.8435887733704,0.012125865395756299,,
-1118.8436164466175,0.010864293711292782,,
-1118.8436753563772,0.01032213890300486,,
-1118.8437162268165,0.010561816248372007,,
-1118.843780009202,0.009471334381290256,,
