config_name,hpo_id,mean_Force_Error,std_Force_Error,num_rmse_samples,mean_Throughput_KAtomSteps_s_MaxAtoms,std_Throughput_KAtomSteps_s_MaxAtoms,mean_Memory_MiB_MaxAtoms,std_Memory_MiB_MaxAtoms,max_num_atoms_for_hpo_id,num_samples_at_max_atoms
hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_107,0.17229209510332644,0.00584867136313662,9,36.43333333333333,15.949210711923437,22430.0,2283.414767404293,8192,3
hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_106,0.18239709264590206,0.005973135935875554,9,62.85066666666666,1.8451819241834515,20643.0,3219.0116495595353,8192,3
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_105,0.19069381996348997,0.0033519100008600118,9,77.38066666666667,2.1028117684028107,19482.333333333332,3099.985215018506,8192,3
hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512,hpo_104,0.18398307605308697,0.0046417545347173786,9,58.22833333333333,1.0784536769529487,18337.666666666668,3081.736902029979,8192,3
hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_103,0.1916931952407665,0.003770804890287452,9,87.49666666666667,1.8925370097658092,17241.333333333332,3193.2698497517135,8192,3
hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128,hpo_102,0.1989055082850888,0.0030634672169123777,9,109.3,4.606070342493692,16153.333333333334,3162.653052949902,8192,3
hpo_101_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-512,hpo_101,0.19136897560294813,0.006068513079794013,9,66.43299999999999,2.1385085924540936,17391.0,3131.636632816777,8192,3
hpo_100_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-256,hpo_100,0.19884219497677205,0.005820220069954927,9,106.37333333333333,5.368964549457684,15232.333333333334,3090.1887213135274,8192,3
hpo_099_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-128,hpo_099,0.20597387034613557,0.004444291999900916,9,144.01266666666666,7.986075026778374,13771.0,3082.9518322542763,8192,3
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_098,0.1776244577622469,0.00443231141349088,9,52.010000000000005,0.6533666658163695,20257.0,2638.9225073881953,8192,2
hpo_097_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_097,0.18491538321505765,0.005387357842691856,9,68.832,2.2996971539748463,19506.333333333332,3036.780586959376,8192,3
hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_096,0.19523981751201225,0.0035675348994297354,9,81.795,2.151624270173586,18206.666666666668,3009.42956942563,8192,3
hpo_095_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-512,hpo_095,0.1856266826254867,0.005399023327205659,9,65.223,1.9610871984692553,17481.333333333332,2991.00323191623,8192,3
hpo_094_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-256,hpo_094,0.19522161013764197,0.004682241731088477,9,99.02066666666667,4.752351137419595,15808.666666666666,2964.8272012603593,8192,3
hpo_093_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-128,hpo_093,0.20355819549435789,0.0036278357557599237,9,124.76966666666665,3.6646333149898225,14569.666666666666,2941.9342843329005,8192,3
hpo_092_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-512,hpo_092,0.1954854701970169,0.0052114637995057285,9,78.291,2.1380685208851444,15818.333333333334,2930.597606859961,8192,3
hpo_091_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-256,hpo_091,0.20381394302312106,0.004491353733763757,9,129.37166666666667,4.305536126121032,13672.666666666666,2907.963262032953,8192,3
hpo_090_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-128,hpo_090,0.2087962573933893,0.003630641663616249,9,164.42166666666668,14.305428771390714,12753.333333333334,2892.3765891275866,8192,3
hpo_089_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-512,hpo_089,0.18065494603751395,0.0069536318999889775,9,53.297666666666665,1.1772902502498388,21089.0,2873.873344460399,8192,3
hpo_088_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-256,hpo_088,0.19329931311272316,0.004885888503077901,9,72.79100000000001,2.3544636331869735,18936.666666666668,2831.1215680951136,8192,3
hpo_087_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-128,hpo_087,0.19985677398160243,0.00521150122093544,9,85.36166666666668,2.375377934841808,17621.0,2824.895927286526,8192,3
hpo_086_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-512,hpo_086,0.19015165467524323,0.0076326924553058615,9,65.285,1.4028567282513238,16361.333333333334,2796.1885368002877,8192,3
hpo_085_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-256,hpo_085,0.19906879673368638,0.004782099440612603,9,42.007999999999996,13.8083812230109,7127.5,2506.693539306311,432,2
hpo_084_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-128,hpo_084,0.2075035499652737,0.003391859137774939,9,18.277,7.525027109585718,4282.333333333333,2975.9251222659036,54,3
hpo_083_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-16_mlp_width-512,hpo_083,0.20006987689635217,0.005062832148332221,9,84.64733333333334,2.6797866208587116,11122.0,2973.4940726357604,8192,3
hpo_082_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-16_mlp_width-256,hpo_082,0.2076379784112101,0.0036319982304843642,9,140.53433333333336,7.70291408061478,9008.333333333334,2972.238438169679,8192,3
hpo_081_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-16_mlp_width-128,hpo_081,0.21401593214847872,0.004141210681548604,9,190.56933333333333,12.218839974945796,8188.0,2970.1247448550034,8192,3
hpo_080_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_080,0.186418048807259,0.0063856400700684065,9,49.9,1.1181395261773,13906.666666666666,2968.2665536190198,8192,3
hpo_079_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_079,0.19423690680301775,0.004436286608539018,9,69.74866666666667,1.9002669110767967,11678.0,2960.099153744685,8192,3
hpo_078_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_078,0.20345481535820664,0.0030928725591807633,9,83.56333333333333,3.5006951214484996,10511.666666666666,2952.426854865897,8192,3
hpo_077_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-512,hpo_077,0.1939754771374668,0.00474953768408888,9,10.402,0.0,6836.0,0.0,54,1
hpo_076_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_076,0.20211698864080707,0.0034197206301654257,9,87.20733333333334,3.891633376017501,10797.666666666666,2941.9082809179035,8192,3
hpo_075_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-128,hpo_075,0.21009357774932916,0.002922217875743715,9,103.31099999999999,4.55106767693033,9770.333333333334,2889.1539130571314,8192,3
hpo_074_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-512,hpo_074,0.2058675542129834,0.005438386069392806,9,62.355333333333334,1.479508138988543,11599.666666666666,2860.31018131484,8192,3
hpo_073_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-256,hpo_073,0.21111770542733665,0.004075117277449406,9,95.60166666666667,3.968230378056862,9466.333333333334,2876.9081204190957,8192,3
hpo_072_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-128,hpo_072,0.2181351883247565,0.0033026860283041776,9,123.03933333333333,4.366740699117975,8405.666666666666,2872.928181025995,8192,3
hpo_071_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_071,0.19145324520462953,0.005188298525412543,9,63.632000000000005,1.7534431841379958,13189.666666666666,2932.2962560650885,8192,3
hpo_070_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_070,0.19900704417673032,0.0046146784750000615,9,94.057,4.180542189716547,10486.333333333334,2945.099375799284,8192,3
hpo_069_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_069,0.20658843287803658,0.0027301235219419464,9,122.42033333333335,4.962642877875999,9840.0,2938.530415020406,8192,3
hpo_068_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-512,hpo_068,0.19733375791919525,0.0037507787681437432,9,64.107,1.9523081211734972,11353.333333333334,2935.758221198287,8192,3
hpo_067_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-256,hpo_067,0.20550064258194467,0.0031706947388936025,9,94.19433333333332,4.393680158287962,9196.333333333334,2916.723561349847,8192,3
hpo_066_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-128,hpo_066,0.2127711368919078,0.003133830893513836,9,176.99966666666668,11.221197544528549,8279.333333333334,2907.2491006677315,8192,3
hpo_065_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-512,hpo_065,0.20981052433916958,0.0038744539821047403,9,70.31966666666666,2.787003827290757,10413.333333333334,2903.432681040381,8192,3
hpo_064_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-256,hpo_064,0.2157321339767457,0.002697184451738871,9,108.89166666666667,5.285337674485271,8296.0,2898.135262543831,8192,3
hpo_063_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-128,hpo_063,0.22090698569348696,0.00275704643075373,9,144.97699999999998,9.39787736672489,7240.0,2895.6097803398857,8192,3
hpo_062_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-512,hpo_062,0.19686216946464755,0.008363678903691524,9,52.026,1.2546541356086953,12423.666666666666,2889.939503403719,8192,3
hpo_061_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-256,hpo_061,0.20443356073298313,0.007215852743030275,9,71.2305,2.622659051420897,14006.0,3997.98174082874,8192,2
hpo_060_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-128,hpo_060,0.21316567144526058,0.004328212644792544,9,94.69933333333334,4.957805193160921,9220.333333333334,2855.7412931379718,8192,3
hpo_059_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-512,hpo_059,0.20449679405253948,0.004523406373147026,9,58.191,11.404218166976634,4698.5,2503.8651121815647,1024,2
hpo_058_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-256,hpo_058,0.21193246203636995,0.0036701894288021196,9,136.64200000000002,5.733045612935583,8608.666666666666,2847.1616275394927,8192,3
hpo_057_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-128,hpo_057,0.2180243197739632,0.0031128870179095353,9,131.728,0.0,1138.0,0.0,432,1
hpo_056_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-512,hpo_056,0.2160824671959709,0.004378666010020257,9,76.40333333333332,2.3300979235502837,9380.333333333334,2842.9555630247432,8192,3
hpo_055_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256,hpo_055,0.22034606773510226,0.00462962141623094,9,120.54333333333334,5.66160315929449,7248.333333333333,2841.4458174199513,8192,3
hpo_054_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-128,hpo_054,0.2255335117714952,0.003364415885335416,9,154.1593333333333,11.041500456610656,6306.0,2813.921818387995,8192,3
hpo_053_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_053,0.19841805111744593,0.007206790827368897,9,102.39333333333333,3.8874497210039043,12373.666666666666,2811.676783226218,8192,3
hpo_052_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_052,0.2011866667974268,0.0035989075431855154,9,141.40733333333333,7.8481499306099725,10372.0,2808.1908767033624,8192,3
hpo_051_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_051,0.20549200026337544,0.003425460300348686,9,167.739,9.129057563626152,10795.0,2814.8287692149233,8192,3
hpo_050_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512,hpo_050,0.2119710376980374,0.005515748032968855,9,122.90033333333334,5.54669282846394,9147.666666666666,2827.3061973074887,8192,3
hpo_049_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_049,0.2112028242895885,0.003788086186463689,9,181.9416666666667,13.026372378115612,8842.333333333334,2802.595285326323,8192,3
hpo_048_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128,hpo_048,0.2147299181473747,0.0022301802485646025,9,220.77,20.7364306475343,7794.666666666667,2813.620147307261,8192,3
hpo_047_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-512,hpo_047,0.22121129119396504,0.0046004767173393095,9,139.11,5.883047424592115,8467.333333333334,2793.223466415341,8192,3
hpo_046_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-256,hpo_046,0.2217209904693507,0.003391873940222868,9,221.53599999999997,15.692183308896176,7128.333333333333,2813.1520281231396,8192,3
hpo_045_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-128,hpo_045,0.22371646678553286,0.003718432297976623,9,265.5403333333333,23.119376728911476,6977.333333333333,2809.2198798480217,8192,3
hpo_044_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_044,0.2007664883677925,0.006707670045304332,9,108.85933333333332,4.742905262951528,11539.333333333334,2807.61506145934,8192,3
hpo_043_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_043,0.20499603756342646,0.0037828567330857044,9,152.89166666666668,8.030877432344065,9521.666666666666,2804.8025480117726,8192,3
hpo_042_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_042,0.20921257603339308,0.002837541247523009,9,179.52733333333333,11.492590540575845,9125.333333333334,2789.6763850549646,8192,3
hpo_041_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-512,hpo_041,0.21122321017480009,0.006824483342665905,9,136.614,6.326368389526495,8625.666666666666,2778.4395500592295,8192,3
hpo_040_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-256,hpo_040,0.21389983168008192,0.004646593249975495,9,207.639,9.682192881780454,8310.333333333334,2779.599671415532,8192,3
hpo_039_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-128,hpo_039,0.21722526443573878,0.003340849674937524,9,268.328,19.83640307616277,7189.666666666667,2781.5503470786452,8192,3
hpo_038_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-512,hpo_038,0.22431200489924383,0.004283156824383148,9,153.42633333333333,10.14618870972412,8027.0,2770.205227054487,8192,3
hpo_037_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-16_mlp_width-256,hpo_037,0.22593669983089595,0.0038677211306289397,9,246.3836666666667,22.920336501311084,6703.0,2775.6049790991515,8192,3
