run_uid,dataset_hash,llm_summary,performance_score,is_pareto_optimal,val0_epoch/forces_rmse_metrics,val0_epoch/stress_rmse_metrics,r_max,num_layers,l_max,poly_p,num_bessels,mlp_depth,mlp_width,seed,avg_num_neighbors,loss_coeff/forces_tail_huber_metrics,loss_coeff/per_atom_energy_mse_metrics,loss_coeff/stress_mse_metrics,loss_coeff/forces_auto_stratified_huber_metrics,loss_coeff/forces_focal_focal_mse_metrics,loss_coeff/forces_angle_forces_angle_metrics,loss_coeff/stress_shear_stress_shear_mae_metrics,loss_coeff/forces_angle_force_angle_metrics,loss_coeff/stress_angle_stress_angle_metrics,loss_coeff/force_strat_E_huber_metrics,loss_coeff/peratom_E_Huber_metrics,loss_coeff/stress_E_Huber_metrics,loss_coeff/forces_stratified_huber_metrics,loss_coeff/forces_huber_metrics,loss_coeff/stress_huber_metrics,loss_coeff/forces_mse_metrics,loss_coeff/per_atom_energy_huber_metrics,loss_coeff/force_strat_E_huber_summary,loss_coeff/forces_angle_force_angle_summary,loss_coeff/forces_auto_stratified_huber_summary,loss_coeff/stress_angle_stress_angle_summary,loss_coeff/stress_mse_summary,loss_coeff/forces_stratified_huber_summary,loss_coeff/per_atom_energy_huber_summary,loss_coeff/forces_huber_summary,loss_coeff/peratom_E_Huber_summary,loss_coeff/stress_huber_summary,loss_coeff/per_atom_energy_mse_summary,loss_coeff/stress_E_Huber_summary,loss_coeff/stress_shear_stress_shear_mae_summary,loss_coeff/forces_focal_focal_mse_summary,loss_coeff/forces_angle_forces_angle_summary,loss_coeff/forces_tail_huber_summary,loss_coeff/forces_mse_summary,loss_functions,loss_coeff_energy,loss_coeff_forces,loss_coeff_stress,loss_has_huber,loss_has_mse,loss_has_mae,loss_has_stratified,loss_has_focal,model_dtype_float32,model_dtype_nan,scalar_embed_mlp_nonlinearity_silu,scalar_embed_mlp_nonlinearity_nan
Allegro_MPTraj_Finetune/first_finetune_test,0e9c7bd3,"Achieved force RMSE of 0.2168 and stress RMSE of 0.0034. Trained with r_max=nan, nan layers, and polynomial degree p=nan. Used a Huber loss.",0.9983635558133861,0,0.2167837000251644,0.0034010851102733,,,,,,,,,,,,,,,,,,,0.1639344262295081,0.0163934426229508,0.819672131147541,,,,,,0.1639344262295081,,,,,,,,0.0163934426229508,,,0.819672131147541,,,,,,peratom_E_Huber(coeff=1)|force_strat_E_huber(coeff=10)|stress_E_Huber(coeff=50),,,50.0,1,0,0,0,0,False,True,False,True
Allegro_MPTraj_Finetune/fixed_loss_finetune_test,0e9c7bd3,"Achieved force RMSE of 0.2145 and stress RMSE of 0.0028. Trained with r_max=nan, nan layers, and polynomial degree p=nan. Used a Huber/MSE/stratified loss.",0.9989405654352416,0,0.2145462570938111,0.0028424040497868,,,,,,,,,,,0.009009009009009,0.9009009009009008,,,,,,,,,,0.09009009009009,,,,,,,,,0.9009009009009008,0.09009009009009,,,,,0.009009009009009,,,,,,,per_atom_energy_mse(coeff=1)|forces_stratified_huber(coeff=10)|stress_mse(coeff=100),1.0,10.0,100.0,1,1,0,1,0,False,True,False,True
Allegro_MPTraj_Finetune/fixed_loss_finetune_test_default_lrsched,0e9c7bd3,"Achieved force RMSE of 0.1966 and stress RMSE of 0.0024. Trained with r_max=nan, nan layers, and polynomial degree p=nan. Used a Huber/MSE/stratified loss.",0.9995501072271415,0,0.1966486928242909,0.0023571741115364,,,,,,,,,,,0.009009009009009,0.9009009009009008,,,,,,,,,,0.09009009009009,,,,,,,,,0.9009009009009008,0.09009009009009,,,,,0.009009009009009,,,,,,,per_atom_energy_mse(coeff=1)|forces_stratified_huber(coeff=10)|stress_mse(coeff=100),1.0,10.0,100.0,1,1,0,1,0,False,True,False,True
Allegro_MPTraj_Finetune/fixed_loss_noscales_shift_finetune_test_b1_modify_compile,0e9c7bd3,"Achieved force RMSE of 0.1853 and stress RMSE of 0.0020. This is a Pareto-optimal model. Trained with r_max=nan, nan layers, and polynomial degree p=nan. Used a Huber/MSE/stratified loss.",0.9999795564115089,1,0.1853150941143406,0.0020066870918566,,,,,,,,,,,0.009009009009009,0.9009009009009008,,,,,,,,,,0.09009009009009,,,,,,,,,0.9009009009009008,0.09009009009009,,,,,0.009009009009009,,,,,,,per_atom_energy_mse(coeff=1)|forces_stratified_huber(coeff=10)|stress_mse(coeff=100),1.0,10.0,100.0,1,1,0,1,0,False,True,False,True
Allegro_MPTraj_Finetune/fixed_loss_scalesshift_finetune_test,0e9c7bd3,"Achieved force RMSE of 0.2104 and stress RMSE of 0.0027. Trained with r_max=nan, nan layers, and polynomial degree p=nan. Used a Huber/MSE/stratified loss.",0.9990929531910108,0,0.2104371663945998,0.0027186262446556,,,,,,,,,,,0.009009009009009,0.9009009009009008,,,,,,,,,,0.09009009009009,,,,,,,,,0.9009009009009008,0.09009009009009,,,,,0.009009009009009,,,,,,,per_atom_energy_mse(coeff=1)|forces_stratified_huber(coeff=10)|stress_mse(coeff=100),1.0,10.0,100.0,1,1,0,1,0,False,True,False,True
Allegro_MPTraj_Finetune/fixed_loss_scalesshift_finetune_test_b1,0e9c7bd3,"Achieved force RMSE of 0.1823 and stress RMSE of 0.0021. This is a Pareto-optimal model. Trained with r_max=nan, nan layers, and polynomial degree p=nan. Used a Huber/MSE/stratified loss.",0.9999536029855152,1,0.1823060176357527,0.0020528258270821,,,,,,,,,,,0.009009009009009,0.9009009009009008,,,,,,,,,,0.09009009009009,,,,,,,,,0.9009009009009008,0.09009009009009,,,,,0.009009009009009,,,,,,,per_atom_energy_mse(coeff=1)|forces_stratified_huber(coeff=10)|stress_mse(coeff=100),1.0,10.0,100.0,1,1,0,1,0,False,True,False,True
Allegro_MPTraj_Finetune/fixed_loss_scalesshift_finetune_test_b1_modify_compile,0e9c7bd3,"Achieved force RMSE of 73.7769 and stress RMSE of 0.4992. Trained with r_max=nan, nan layers, and polynomial degree p=nan. Used a Huber/MSE/stratified loss.",5.551115123125783e-17,0,73.77693153798892,0.499223326328789,,,,,,,,,,,0.009009009009009,0.9009009009009008,,,,,,,,,,0.09009009009009,,,,,,,,,0.9009009009009008,0.09009009009009,,,,,0.009009009009009,,,,,,,per_atom_energy_mse(coeff=1)|forces_stratified_huber(coeff=10)|stress_mse(coeff=100),1.0,10.0,100.0,1,1,0,1,0,False,True,False,True
Allegro_MPTraj_Finetune/from_scratch_loss_scalesshift_b1,0e9c7bd3,"Achieved force RMSE of 0.1858 and stress RMSE of 0.0021. Trained with r_max=nan, nan layers, and polynomial degree p=nan. Used a Huber/MSE/stratified loss.",0.9999189622928355,0,0.1857904427890153,0.0020637323709944,,,,,,,,,,,0.009009009009009,0.9009009009009008,,,,,,,,,,0.09009009009009,,,,,,,,,0.9009009009009008,0.09009009009009,,,,,0.009009009009009,,,,,,,per_atom_energy_mse(coeff=1)|forces_stratified_huber(coeff=10)|stress_mse(coeff=100),1.0,10.0,100.0,1,1,0,1,0,False,True,False,True
allegro-stress-rmax-test/allegro_gen_8_2025-06-20_no_dimers,0e9f5f24,"Achieved force RMSE of 0.3275 and stress RMSE of 0.0141. Trained with r_max=5.0, 2.0 layers, and polynomial degree p=6.0. Used a MSE loss.",0.9868645683845536,0,0.3275383003424773,0.0140877857187539,5.0,2.0,2.0,6.0,8.0,2.0,512.0,42.0,32.05165459701234,,0.0277777777777777,0.6944444444444444,,,,,,,,,,,,,0.2777777777777778,,,,,,0.6944444444444444,,,,,,0.0277777777777777,,,,,,0.2777777777777778,per_atom_energy_mse(coeff=1)|forces_mse(coeff=10)|stress_mse(coeff=25),1.0,10.0,25.0,0,1,0,0,0,True,False,True,False
allegro-stress-rmax-test/job_gen_7_2025-06-11_r5,0e9c7bd3,"Achieved force RMSE of 0.3542 and stress RMSE of 0.0088. Trained with r_max=5.0, 1.0 layers, and polynomial degree p=6.0. Used a Huber/MSE/stratified loss.",0.9919654986368833,0,0.35419904827008,0.0088351268002401,5.0,1.0,2.0,6.0,8.0,2.0,256.0,0.0,32.04513466643201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,per_atom_energy_mse(coeff=1)|forces_stratified_huber(coeff=1)|stress_mse(coeff=1),1.0,1.0,1.0,1,1,0,1,0,True,False,True,False
